mood_mean,perc_of_sub_grad,other_code,hex_code
0,0%,16711680,FF0000
0.1,5%,16647936,FE0700
0.2,10%,16649728,FE0E00
0.3,15%,16585984,FD1500
0.4,20%,16588032,FD1D00
0.5,25%,16524288,FC2400
0.6,30%,16526080,FC2B00
0.7,35%,16462336,FB3200
0.8,40%,16464384,FB3A00
0.9,45%,16400640,FA4100
1,50%,16402432,FA4800
1.1,55%,16338688,F94F00
1.2,60%,16340736,F95700
1.3,65%,16276992,F85E00
1.4,70%,16278784,F86500
1.5,75%,16215040,F76C00
1.6,80%,16217088,F77400
1.7,85%,16153344,F67B00
1.8,90%,16155136,F68200
1.9,95%,16091392,F58900
2,100%,16093440,F59100
2.1,5%,16094464,F59500
2.2,10%,16161024,F69900
2.3,15%,16162048,F69D00
2.4,20%,16228864,F7A200
2.5,25%,16229888,F7A600
2.6,30%,16296448,F8AA00
2.7,35%,16297472,F8AE00
2.8,40%,16364288,F9B300
2.9,45%,16365312,F9B700
3,50%,16431872,FABB00
3.1,55%,16432896,FABF00
3.2,60%,16499712,FBC400
3.3,65%,16500736,FBC800
3.4,70%,16567296,FCCC00
3.5,75%,16568320,FCD000
3.6,80%,16635136,FDD500
3.7,85%,16636160,FDD900
3.8,90%,16702720,FEDD00
3.9,95%,16703744,FEE100
4,100%,16770560,FFE600
4.1,5%,16442624,FAE500
4.2,10%,16180224,F6E400
4.3,15%,15852288,F1E300
4.4,20%,15589888,EDE200
4.5,25%,15327744,E9E200
4.6,30%,14999808,E4E100
4.7,35%,14737408,E0E000
4.8,40%,14475008,DCDF00
4.9,45%,14147072,D7DE00
5,50%,13884928,D3DE00
5.1,55%,13622528,CFDD00
5.2,60%,13294592,CADC00
5.3,65%,13032192,C6DB00
5.4,70%,12769792,C2DA00
5.5,75%,12442112,BDDA00
5.6,80%,12179712,B9D900
5.7,85%,11917312,B5D800
5.8,90%,11589376,B0D700
5.9,95%,11326976,ACD600
6,100%,11064832,A8D600
6.1,5%,10473984,9FD200
6.2,10%,9948928,97CF00
6.3,15%,9358336,8ECC00
6.4,20%,8833280,86C900
6.5,25%,8308224,7EC600
6.6,30%,7717632,75C300
6.7,35%,7192576,6DC000
6.8,40%,6601984,64BD00
6.9,45%,6076928,5CBA00
7,50%,5551872,54B700
7.1,55%,4961280,4BB400
7.2,60%,4436224,43B100
7.3,65%,3845632,3AAE00
7.4,70%,3320576,32AB00
7.5,75%,2795520,2AA800
7.6,80%,2204928,21A500
7.7,85%,1679872,19A200
7.8,90%,1089280,109F00
7.9,95%,564224,089C00
8,100%,39168,009900
