unit,time,mood_mean,engagement_mean,utterance,mood1,mood2,mood3,eng1,eng2,eng3,comment1,comment2,comment3
1,00:00,3,5,,2,3,4,4,5,6,,,
4,00:04,4.3,5.3,,2,6,5,5,6,5,,,
33,00:33,5.3,6.3,,5,6,5,7,5.5,6.5,,,
53,00:53,5,5.6,,4,5,6,5,6,6,,,
70,01:10,2.6,7,,2,3,3,6,7,8,,,
80,01:20,5,6.3,,6,6,3,6,7,6,,,
97,01:37,4,4,,3,4,5,3,4,5,,,
108,01:48,5.3,5.6,,5,5,6,5,5,7,,,
116,01:56,4,2.6,,3,4,5,2,3,3,,,
142,02:22,3,4,,2,4,3,2,7,3,,,
145,02:25,4.6,4.3,,4,4,6,4,4,5,,,
267,04:27,3.6,6.6,,4,3,4,7,7,6,,,
304,05:04,6,8,,5,6,7,8,8,8,,,
312,05:12,3.3,6.3,,3,3,4,6,7,6,,,
